5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,Opening Day!,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,,,,,When was the poet going to school?,In the morning,In the evening,In the afternoon,Not clear in the poem,In the morning
,,,,,,How was the poet going to school?,Happily,As usual,Angrily,Sadly,Happily
,,,,,,Which day is described in the poem “Opening Day”?,The First day of session,The first day after holiday,The first day of the poet in the school,The first day of new school ,The first day after holiday
,,,,,,What makes the poet glad on the opening day?,New things,New Bicycles, New route,Nothing make him glad,New things
,,,,,,What is the opposite word of “glad”?,Sorrow,Sad,Good,Happy,Sad
,,,,,,What is the meaning of “mine”?,Belonging to poet,Belonging to reader,Belonging to school,Belonging to day ,Belonging to poet
,,,,,,What is new for poet?,New shoes,New bag,New books,All of these,All of these
,,,,,,What is good in olds?,Friends,Foods,Things,Flowers,Friends
,,,,,,What do you mean by ‘over’?,Started,Banned,Finished,Drained,Finished
,,,,,,Make this sentence in negative form- 'You are my friend'.,You are my not friend., You are not my friend.,You are my friend not.,You not are my friend , You are not my friend.
,,,,,,She writes a letter. Write the sentence in negetive form.,She writes not a letter,She do not write a letter, She not does write a letter,She does not write a letter ,She does not write a letter 
,,,,,,What is the theme of the poem?,Joy,Happiness,Joy and happiness,None,Joy and Happiness
,,,,,,Which is the sign of exclamation ?,.,",",!,:,!
,,,,,,What is the antonym of the word 'friend'?,boy,enemy,brother,gold,enemy
,,,,,,Which is the rhyming word of 'new'?,old,glad,too,book,too
,,,,,,Identify the verb in the sentence.What are you reading?,What,Are,you  ,Reading,Reading
,,,,,,From which direction the Sun rises?,East,West,North,South,East
5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,The Lion King,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,,,,,Who is known as the king of forest?,Rabbit,Lion,Rat,Elephant,Lion
,,,,,,Where do wild animals live in?,Forest,Village,City,School,Forest
,,,,,,Who sang the sweetest songs?,Monkey,Donkey,Birds,Lion,Birds
,,,,,,What do cubs become when they grow up?,Ship,Cow,Goat,Lion,Lion
,,,,,,Who is the narrator of the lesson 'The Lion King'?,Deer,Bear,Lion,Monkey,Lion
,,,,,,Who was responsible for the destruction of the forest?,Tribes,Civilized people,Animals,Villagers,Civilized people
,,,,,,Young ones of ‘cat’ are called?,Fawn,Cub,Kitten,Calf,Kitten
,,,,,,Animals who lived in forest are called?,Wild animals,Pet animals,Water animals,None of these,Wild animals
,,,,,,"Who are the Greedy, unkind and selfish in the story?",Lion,Civilized people,Tribes,Cow,Civilized people
,,,,,,Living place of ‘ Dog’ is called…..,Stable,Den,Kennel,Hole,Kennel
,,,,,,The young one of a cow is called?,Cub,Calf,Puppy,Fawn,Calf
,,,,,,‘Burrow’ is the living place of?,Lion,Rat,Snake,Rabbit,Rabbit
,,,,,,‘Calf’ is known as young one of?,Cow,Horse,Lion,Cat,Cow
,,,,,,Living place of ‘cow’ is known as?,Den,Hole,Stable,Shed,Shed
,,,,,,What was the position of Lion's Kingdom?,Beautiful,Worst,Ugly,Mesmerising,Beautiful
,,,,,,How forest looked beautiful with?,Water springs ,Pools ,Hills ,All of these,All of these
,,,,,,Who lived with wild animals?,Actors,Hill tribes,Heroine,Monkeys,Hill tribes
,,,,,,"What is the theme of the lesson ""The Lion King'?",Conservation,Wild Life,Environment,Conservation of Wild Life and Environment,Conservation of Wild Life and Environment
,,,,,,A person who sells and buys things illegally?,ROBBER,Miser,Smuggler,Civilized ,Smuggler
,,,,,,What we called the outer teeth of an elephant ?,Tail,Claw,Tusks,teeth,Tusks
5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,Flying Together,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,,,,,Where did the geese live?,In a cage,In a zoo,In a big tree,In a river ,In a big tree
,,,,,,Who advised the geese in trouble?,Wise old  bird,Young bird,Wild geese,None of these,Wise old  bird
,,,,,,A group of geese is called?,Bunch,Crowd,Flock,Team,Flock
,,,,,,What is the opposite of word ‘wild’?,Domestic,Zoo,Home,None  ,Domestic
,,,,,,Which word is a collective noun?,Goat,Soldier,Army,Lion,Army
,,,,,,My birthday falls ……………….June 26.,In,at,on,into,on
,,,,,,Who climbed up the tree? (Flying together),Birds,Gesse,Hunter,Snake,Hunter
,,,,,,With whom help the hunter climbed the tree?,Rope,Creeper,Ladder,Tube,Ladder
,,,,,,What will be the opposite word of thin?,Top,Thick,Earlier,Front,Thick
,,,,,,Where did the hunter lay his net?,Under the tree,On the grass,Top of the tree,None of these,Top of the tree
,,,,,,What did the old geese notice?,A small insect,A small fly,A small bird ,A small creeper,A small creeper
,,,,,,What was the suggestion of old geese?,Fly away from this tree, Settle on higher branches,Make a  stockading,Distroy the small creeper ,Distroy the small creeper 
,,,,,,What happend with creeper after sometime?,It was grown high,It was fell down,It was cling with tree,None of these,It was grown high
,,,,,,When was hunter came in the forest?,  In the morning, In the evening,When geese had gone out,When geese were at the nest , When geese had gone out
,,,,,,Where in the geese trapped?,In the creeper,In the tree, In the net,In the leaves , In the net
,,,,,,What did the hunter mutter?,All geese were happy.,All geese were dead,All geese were sad,All geese were alive ,All geese were dead
,,,,,,What is the theme of the story 'Flying Together'?,Adventure,Wisdom,Adventure and Wisdom ,None,Adventure and Wisdom 
,,,,,,What we say the unnecessary talk or activity ?,Advice,Tender,Fuss,pretend,Fuss
,,,,,,Rearrange the words to make meaningful sentence.     Tree/was/there/big/a?,There was a big tree.,Big tree was there ?,Was there a big tree? ,None ,Was there a big tree? 
5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,Our Friend Computer,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,,,,,What is the soul of the computer?,CPU,Software,Keyboard,Mouse,Software
,,,,,,Which part of the computer is called its brain?,Mouse,Printer,CPU,Monitor,CPU
,,,,,,Which is not the part of computer?,Mouse,Black Board,Printer,CPU ,Black Board
,,,,,,Which is used for printing?,Monitor,House,Keyboard,Printer,Printer
,,,,,,From where does the computer gets its command?,Keyboard,Monitor,Printer,CPU ,Keyboard
,,,,,,Shall is generally used with ‘we’ and...............,He,She,It,I,I
,,,,,,Which part of the computer looks like a TV?,Keyboard,Monitor,Printer,Mouse,Monitor
,,,,,, Fill in the blanks.     I………….write a letter  tomorrow.,Shall,Will,Both,None ,Shall
,,,,,,Computer is an………………..device.,electicity,electronic,eletrician,None ,electronic
,,,,,,What thing is important for activities now a day as per lesson?,Radio,Mobile,Television,Computer,Computer
,,,,,,Computer can not draw the following one:-,Beautiful picture,Building’s  designs,Make calculations,Make edibles,Make edibles
,,,,,,Make the homophone of ‘I’,Ai,Aie,Eye,Aye,Eye
,,,,,,Make  homophone  of too?,Two,Tow,Thoo,Tuo,Two
,,,,,,What do you mean by visually impaired person ?,Blind Person,Deaf Peson,Dumb Person,Lame Person,Blind Person
,,,,,,Which part of computer shows the output?,Keyboard,Mouse,Monitor,CPU ,Monitor
,,,,,,What is the meaning of 'Efficient'?,Capable,Active,Dangerous,Elephant,Capable
,,,,,,Which word can't be formed by using the letters of 'Computer'?,ome,Court,True ,Print ,Print  
5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,My Teacher sees right through me,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,,,,,What is the boy dreaming about?,About his teacher,About his mother,About hissister,About his elder brother,About his teacher
,,,,,,What did the teacher ask the boy who was dreaming (Poet)?,About his health,About his homework,About his absence,About his cleanliness,About his homework
,,,,,,What excuse was not given by the poet for not doing home-work?,It is too much hard,   His dog ate it,He slept,He had chores,He slept
,,,,,,Who was the teacher?,Poet's mother,Poet's father,Poet's brother,Poet's sister,Poet's father
,,,,,,What ‘wh-word’ is used to ask about a person?,When,What,Who,Where,Who
,,,,,,What ‘wh-word’ is used to ask about reason?,Which,Where,Why,Who,Why
,,,,,,What 'Wh-word' is used to ask about the place?,Where ,Who,What,When,Where
,,,,,,Who did not do his homework?,Student,Teacher,Poet,Pupil,Poet 
,,,,,,Why did he not complete his homework because?,It was too much hard,It was too much easy, It was too much lengthy,It was too much boring                                          ,It was too much hard
,,,,,,What did teacher say to him?,You didn't try,You didn't do your best,You didn't take interest,You didn't work hard ,You didn't try
,,,,,,What reason was given by the student?,My mom spoilt it,My dog ate it,My father threw it,My sister tear it ,My dog ate it
,,,,,,What was his second reason?,I slept soon,I felt ill,I went out running,I went out to market ,I went out running
,,,,,,What is the main theme of the poem ?,Moral Values,Discipline,Obedient,Good Habbits,Moral values
,,,,,,Which 'wh' Word is used to ask about time ?,Where ,why,when,what,when
,,,,,,The words having same sound but different spelling and meaning are called ?,Telephone,Homophone,Videocon,synonyms,Homophones
5e3954011a2ed23b0ca82b10,5ef306e1ac74756968d568f3,5ef304cdac74756968d568f0,Alert Rabbit,5e4a47b2309e7b815f3f3b5d,5e4a47b2309e7b815f3f3b5d,,,,,,
,,, ,,,Where was the village “Baan Talae Nok”?,Thailand,England,Scotland , India,Thailand
,,,,,,Who cried “maa—maa”? (Alert Rabbit),Rabbit,Elephant ,Goat (Baby Goat),Cow,Goat (Baby Goat)
,,,,,,Where did the Rabbit hear the news of Tsunami?,On T.V.,On Radio,In Animal's meeting,None,On Radio
,,,,,,Who asked everyone to stay calm after hearing Tsunami News?,Butterfly,Ant ,Frog,Rat,Ant
,,,,,,What did the Headman Ant tell to everyone?,Music system, Sound system,Warning system,None,Warning system
,,,,,,When was these meeting organized after hearing the news of Tsunami?,The same day,Next Day,Two days after,Three days after,Next Day
,,,,,,Who says this lines “My Kids will not go out to play by themselves in hazardous places?,Elephant ,Butterfly, Mother Frog,  Goat,Mother Frog
,,,,,,Who will make the map of the village?,Elephant,Mother Goat,Frog,Butterfly,Mother Goat
,,,,,,Who was too old among animals?,Ox ,Elephant ,Headman Ant,Goat,Ox
,,,,,,Who made the list of things to do?,Elephant ,Headman Ant,Goat,Ox,Headman Ant
,,,,,,Who heard the news of earthquake?,Mother Cow,Mother Goat,Rabbit,Rat,Rabbit
,,,,,,Where did the earthquake occur?,Java Island,Thailand,England,None,Java Island
,,,,,,How did the Rabbit make alert to all animals?, Hooting ,By Blow siren,By beating the earth,By running here and there ,By Blow siren
,,,,,,What is the major cause of Tsunami in Thailand?,Flood,Earthquake,Deforestation,None,Earthquake
,,,,,,Who alerted all the animals?,Elephnat,Frog,Goat,Rabbit,Rabbit
,,,,,,How was the rabbit in the beginning ?,Alert,Lazy,Boring,None,Lazy
,,,,,,Butterfly forgot her……..,Valuables,Bag,Bottle,None,Valuables
,,,,,,Who made evacuation route map of the village ?,Ant,Mother Goat,Rat,Cat,Mother Goat
